iter	Logloss
0	0.6588042246
1	0.6337519307
2	0.6134550918
3	0.5948747769
4	0.5786482878
5	0.5669555922
6	0.5570345224
7	0.5489188225
8	0.5432640724
9	0.5389333776
10	0.5340322613
11	0.5297247211
12	0.5270944482
13	0.5239326423
14	0.5214139816
15	0.5188394422
16	0.5173775363
17	0.5145823081
18	0.5114947348
19	0.509756722
20	0.5074699705
21	0.505561021
22	0.50455076
23	0.5033968241
24	0.5015949729
25	0.5003294454
26	0.4995940572
27	0.4984672313
28	0.4975406443
29	0.4966456081
30	0.4959079024
31	0.4949033904
32	0.494474494
33	0.4933412583
34	0.4925951783
35	0.4920976473
36	0.491662668
37	0.4914326603
38	0.4910432359
39	0.4903532386
40	0.4896422139
41	0.4888074305
42	0.4885591453
43	0.4880985212
44	0.4877505801
45	0.4871414562
46	0.4869865568
47	0.4868619251
48	0.4863967555
49	0.4859590287
50	0.4856279589
51	0.4851568242
52	0.4848006796
53	0.4846018641
54	0.4841727734
55	0.4838473788
56	0.4836855322
57	0.4835563214
58	0.4831216447
59	0.4827193699
60	0.4825064483
61	0.4820315105
62	0.4818764914
63	0.4816141472
64	0.4813727553
65	0.480971427
66	0.4806390356
67	0.4804924136
68	0.4802640413
69	0.4800011788
70	0.4796270365
71	0.4794413101
72	0.479218
73	0.4790075964
74	0.4787356344
75	0.4785029825
76	0.4782177741
77	0.4779718536
78	0.4776655701
79	0.4772362099
80	0.4768633049
81	0.4765542947
82	0.4763574353
83	0.4762047621
84	0.4759001855
85	0.4757461832
86	0.4753802024
87	0.4751899844
88	0.4750300432
89	0.4744321168
90	0.4741605488
91	0.4738538648
92	0.4736389124
93	0.4733481033
94	0.4729951624
95	0.4727862929
96	0.4726205088
97	0.4723312985
98	0.4720597627
99	0.4719119529
100	0.4717892241
101	0.471487535
102	0.4713175194
103	0.4710500612
104	0.4707460578
105	0.470548508
106	0.4704074805
107	0.4701933082
108	0.4699119529
109	0.4696832439
110	0.4693140286
111	0.4690576328
112	0.4687405897
113	0.4684621968
114	0.4682362971
115	0.4680047816
116	0.4678370115
117	0.4675729003
118	0.4674273464
119	0.467162684
120	0.46699673
121	0.4668934614
122	0.4667129864
123	0.4664961505
124	0.4663392203
125	0.4660665484
126	0.4658595094
127	0.4655257518
128	0.4651039281
129	0.4648866545
130	0.4646564242
131	0.4643821127
132	0.4642008806
133	0.463965027
134	0.4637423361
135	0.4635340628
136	0.4634334796
137	0.4632149679
138	0.4630804902
139	0.4628000756
140	0.4625501243
141	0.4623787476
142	0.462136001
143	0.4619775224
144	0.4617913064
145	0.4615421216
146	0.4613366419
147	0.4610075411
148	0.4608447651
149	0.4608243514
150	0.4606195508
151	0.4603639177
152	0.460204599
153	0.4600396835
154	0.4599730149
155	0.4598364826
156	0.4597184691
157	0.4595426322
158	0.459390742
159	0.4591927953
160	0.4589263203
161	0.4587425805
162	0.4585428515
163	0.4583389594
164	0.4581406916
165	0.4579732029
166	0.4578169281
167	0.4576586711
168	0.457479723
169	0.4572981008
170	0.4571235873
171	0.4569273139
172	0.4568352668
173	0.456675335
174	0.4565324644
175	0.4562908061
176	0.4561774531
177	0.4559938659
178	0.4558578511
179	0.4556996591
180	0.455550745
181	0.4553928538
182	0.4552183051
183	0.4550503356
184	0.4548804613
185	0.4547539474
186	0.4545640917
187	0.4544261694
188	0.4543289453
189	0.4541557818
190	0.4539893216
191	0.453791656
192	0.4536438505
193	0.4534659257
194	0.4532933435
195	0.4531984174
196	0.4531452905
197	0.4529852502
198	0.4528453562
199	0.4526794207
200	0.4525383944
201	0.4523898201
202	0.4522189749
203	0.4520841972
204	0.4519416959
205	0.4518062916
206	0.4516868951
207	0.4515414121
208	0.4514252912
209	0.4513018634
210	0.4511448891
211	0.4509889449
212	0.4508123006
213	0.4506644387
214	0.4505735107
215	0.4504929216
216	0.4504646338
217	0.4503055176
218	0.4501449656
219	0.4500360176
220	0.4498922635
221	0.4498041887
222	0.4497867854
223	0.4497302051
224	0.4495886857
225	0.4494617382
226	0.4494135704
227	0.4493136563
228	0.4492054111
229	0.4490587328
230	0.4489387631
231	0.4489227485
232	0.4487613442
233	0.448719564
234	0.4484951062
235	0.4483747703
236	0.4483592826
237	0.4481397321
238	0.4479033351
239	0.4477974011
240	0.447689003
241	0.4476020386
242	0.4474857323
243	0.4473779624
244	0.447182858
245	0.4470940038
246	0.4468799474
247	0.4468605809
248	0.4466703586
249	0.4465611283
250	0.4463441059
251	0.4462124181
252	0.4461515772
253	0.4461437476
254	0.4460509832
255	0.4459251647
256	0.4457327268
257	0.4455209786
258	0.4454094057
259	0.4453954803
260	0.4452778333
261	0.4451692444
262	0.4450529806
263	0.4449708464
264	0.4448562509
265	0.4447220761
266	0.4445512308
267	0.4444540415
268	0.4443715858
269	0.4442826331
270	0.4442319136
271	0.444119692
272	0.4439950825
273	0.4438958389
274	0.4437057912
275	0.4435544989
276	0.4434217776
277	0.4433194829
278	0.443257836
279	0.4431325909
280	0.4429486005
281	0.442784384
282	0.44268828
283	0.4426785689
284	0.4425325475
285	0.4424313541
286	0.4422456825
287	0.4421931668
288	0.4420744677
289	0.4419251712
290	0.4418743631
291	0.441751268
292	0.4416482519
293	0.4415156479
294	0.4413588706
295	0.4412416498
296	0.4411182945
297	0.4410158916
298	0.4409145619
299	0.4408171132
