iter	Passed	Remaining
0	10	3064
1	19	2900
2	26	2627
3	34	2535
4	39	2348
5	45	2239
6	51	2153
7	57	2100
8	64	2070
9	69	2007
10	74	1961
11	81	1958
12	87	1925
13	91	1872
14	97	1843
15	102	1827
16	107	1794
17	112	1764
18	117	1740
19	122	1711
20	127	1691
21	133	1685
22	139	1676
23	144	1664
24	150	1652
25	154	1631
26	160	1619
27	165	1603
28	169	1581
29	174	1571
30	181	1577
31	187	1567
32	192	1554
33	197	1543
34	202	1531
35	207	1521
36	212	1513
37	217	1502
38	222	1488
39	228	1486
40	234	1480
41	239	1471
42	245	1464
43	250	1456
44	254	1444
45	259	1433
46	264	1421
47	268	1407
48	272	1397
49	277	1386
50	281	1375
51	285	1363
52	291	1357
53	297	1357
54	303	1354
55	309	1347
56	313	1337
57	318	1329
58	324	1323
59	329	1318
60	334	1309
61	341	1309
62	345	1301
63	351	1294
64	356	1290
65	361	1283
66	366	1274
67	372	1271
68	377	1264
69	383	1258
70	389	1256
71	395	1250
72	400	1244
73	405	1239
74	410	1231
75	415	1224
76	420	1218
77	425	1211
78	430	1202
79	434	1195
80	439	1188
81	443	1180
82	448	1172
83	453	1166
84	458	1158
85	462	1150
86	467	1144
87	472	1137
88	476	1130
89	482	1126
90	487	1118
91	491	1110
92	495	1102
93	500	1097
94	505	1091
95	510	1084
96	515	1078
97	519	1071
98	525	1066
99	531	1062
100	537	1058
101	542	1052
102	547	1046
103	553	1043
104	559	1038
105	565	1035
106	570	1029
107	575	1022
108	580	1017
109	586	1012
110	590	1005
111	595	999
112	601	995
113	606	989
114	612	985
115	617	979
116	622	974
117	627	967
118	632	962
119	637	956
120	641	949
121	646	943
122	651	937
123	656	931
124	660	925
125	665	919
126	670	913
127	674	906
128	680	901
129	684	895
130	689	888
131	694	883
132	698	877
133	703	871
134	707	865
135	712	859
136	716	853
137	721	847
138	726	841
139	731	836
140	736	831
141	741	825
142	747	820
143	751	814
144	756	808
145	761	803
146	765	797
147	770	791
148	775	785
149	779	779
150	783	773
151	788	767
152	795	763
153	799	758
154	805	753
155	810	747
156	815	742
157	820	737
158	825	731
159	830	726
160	834	720
161	839	714
162	844	709
163	848	703
164	852	697
165	857	692
166	861	686
167	866	680
168	871	675
169	876	670
170	880	664
171	885	658
172	891	654
173	896	648
174	901	643
175	905	638
176	910	632
177	914	626
178	919	621
179	923	615
180	927	610
181	932	604
182	937	599
183	941	593
184	945	587
185	950	582
186	955	577
187	959	571
188	964	566
189	969	561
190	973	555
191	978	550
192	982	544
193	987	539
194	991	533
195	996	528
196	1001	523
197	1006	518
198	1010	512
199	1015	507
200	1019	502
201	1023	496
202	1028	491
203	1033	486
204	1037	480
205	1041	475
206	1046	470
207	1051	465
208	1056	460
209	1061	454
210	1066	449
211	1071	444
212	1076	439
213	1081	434
214	1087	429
215	1091	424
216	1097	419
217	1105	415
218	1110	410
219	1116	405
220	1121	401
221	1127	396
222	1132	390
223	1137	385
224	1141	380
225	1147	375
226	1151	370
227	1155	365
228	1160	359
229	1165	354
230	1170	349
231	1177	345
232	1182	340
233	1186	334
234	1192	329
235	1197	324
236	1202	319
237	1207	314
238	1215	310
239	1220	305
240	1225	300
241	1231	295
242	1237	290
243	1243	285
244	1249	280
245	1257	276
246	1263	271
247	1268	265
248	1273	260
249	1278	255
250	1292	252
251	1300	247
252	1307	242
253	1315	238
254	1321	233
255	1326	227
256	1333	223
257	1339	218
258	1344	212
259	1349	207
260	1353	202
261	1358	197
262	1362	191
263	1367	186
264	1372	181
265	1377	176
266	1381	170
267	1386	165
268	1391	160
269	1395	155
270	1400	149
271	1404	144
272	1409	139
273	1414	134
274	1418	128
275	1425	123
276	1431	118
277	1438	113
278	1445	108
279	1452	103
280	1458	98
281	1463	93
282	1469	88
283	1477	83
284	1482	78
285	1487	72
286	1492	67
287	1496	62
288	1502	57
289	1508	52
290	1513	46
291	1518	41
292	1524	36
293	1529	31
294	1534	26
295	1539	20
296	1544	15
297	1548	10
298	1554	5
299	1559	0
