iter	Passed	Remaining
0	12	3645
1	21	3257
2	31	3131
3	39	2947
4	46	2735
5	52	2550
6	57	2403
7	63	2301
8	69	2241
9	75	2188
10	80	2120
11	86	2065
12	90	2003
13	96	1968
14	101	1932
15	107	1913
16	114	1897
17	120	1885
18	126	1876
19	131	1838
20	135	1805
21	141	1786
22	145	1754
23	150	1734
24	155	1709
25	160	1692
26	165	1674
27	170	1652
28	175	1642
29	180	1622
30	184	1602
31	189	1589
32	194	1576
33	200	1564
34	204	1551
35	209	1537
36	214	1527
37	219	1513
38	224	1502
39	229	1489
40	233	1474
41	237	1460
42	242	1447
43	246	1435
44	250	1421
45	255	1413
46	260	1401
47	264	1389
48	269	1378
49	274	1373
50	279	1363
51	283	1351
52	288	1344
53	292	1334
54	298	1327
55	302	1319
56	307	1309
57	311	1300
58	316	1291
59	322	1288
60	326	1280
61	331	1272
62	336	1265
63	341	1258
64	345	1248
65	351	1246
66	356	1239
67	361	1232
68	365	1224
69	370	1218
70	375	1211
71	380	1205
72	386	1201
73	391	1195
74	397	1193
75	404	1191
76	409	1184
77	414	1178
78	420	1176
79	426	1173
80	432	1169
81	437	1164
82	443	1160
83	451	1159
84	457	1156
85	463	1153
86	470	1151
87	476	1148
88	485	1150
89	490	1144
90	496	1139
91	501	1134
92	507	1130
93	513	1126
94	519	1121
95	524	1114
96	532	1113
97	538	1109
98	542	1101
99	549	1099
100	554	1092
101	559	1085
102	566	1083
103	571	1076
104	576	1070
105	583	1068
106	588	1062
107	594	1056
108	601	1053
109	606	1047
110	612	1043
111	620	1041
112	626	1036
113	633	1033
114	638	1027
115	644	1022
116	651	1018
117	656	1012
118	663	1008
119	668	1002
120	674	997
121	681	994
122	686	988
123	692	982
124	699	979
125	705	974
126	712	971
127	718	964
128	723	958
129	729	953
130	734	947
131	739	941
132	746	937
133	751	930
134	756	924
135	762	918
136	766	912
137	773	907
138	778	901
139	783	895
140	788	888
141	793	883
142	799	877
143	804	871
144	809	865
145	814	859
146	819	853
147	825	847
148	831	842
149	836	836
150	842	831
151	847	825
152	852	819
153	859	814
154	864	808
155	869	802
156	875	797
157	881	792
158	887	786
159	891	780
160	896	774
161	904	770
162	909	764
163	914	758
164	921	754
165	927	748
166	933	743
167	940	738
168	945	733
169	952	728
170	958	722
171	963	716
172	970	712
173	975	706
174	981	700
175	988	696
176	994	690
177	1000	685
178	1006	680
179	1012	674
180	1018	669
181	1025	664
182	1030	658
183	1039	655
184	1044	649
185	1050	643
186	1055	637
187	1061	632
188	1068	627
189	1073	621
190	1078	615
191	1084	610
192	1089	604
193	1094	598
194	1101	592
195	1106	587
196	1114	582
197	1119	576
198	1124	570
199	1131	565
200	1136	559
201	1141	553
202	1147	548
203	1153	542
204	1159	537
205	1166	532
206	1172	526
207	1177	520
208	1183	515
209	1188	509
210	1193	503
211	1199	497
212	1204	491
213	1208	485
214	1214	480
215	1219	474
216	1223	468
217	1229	462
218	1234	456
219	1238	450
220	1244	444
221	1249	438
222	1253	432
223	1258	427
224	1264	421
225	1269	415
226	1274	410
227	1280	404
228	1285	398
229	1290	392
230	1295	387
231	1300	381
232	1305	375
233	1310	369
234	1315	363
235	1320	358
236	1325	352
237	1330	346
238	1335	340
239	1341	335
240	1346	329
241	1350	323
242	1356	318
243	1362	312
244	1367	306
245	1373	301
246	1378	295
247	1383	290
248	1389	284
249	1395	279
250	1400	273
251	1405	267
252	1412	262
253	1417	256
254	1424	251
255	1430	245
256	1437	240
257	1442	234
258	1448	229
259	1455	223
260	1460	218
261	1465	212
262	1472	207
263	1477	201
264	1482	195
265	1488	190
266	1493	184
267	1498	178
268	1503	173
269	1508	167
270	1514	162
271	1520	156
272	1524	150
273	1530	145
274	1536	139
275	1540	133
276	1545	128
277	1551	122
278	1556	117
279	1560	111
280	1565	105
281	1571	100
282	1576	94
283	1583	89
284	1589	83
285	1595	78
286	1601	72
287	1606	66
288	1611	61
289	1618	55
290	1623	50
291	1628	44
292	1633	39
293	1638	33
294	1643	27
295	1648	22
296	1653	16
297	1659	11
298	1664	5
299	1670	0
